Plant_Name,Temperature_Range(°C),Humidity_Range(%),NPK_Required(mg/kg),Fertilizer_Used,Fertilizer_Bags_per_ha,Fertilizer_Bags_per_sqm,Fertilizer_Bags_per_acre
Cucumber,14-22,50-70,125-62-82,Vermicompost,21.41,0.214,6.68
Lettuce,20-Dec,50-72,105-52-72,Superphosphate,16.63,0.1815,11.88
Zucchini,16-24,55-75,100-50-70,Ammonium Sulphate,9.96,0.1294,9.5
Tomato,20-Dec,55-75,95-45-65,Ammonium Sulphate,12.53,0.2478,3.25
Strawberry,14-22,60-80,110-55-75,Superphosphate,14.28,0.1108,11.83
Broccoli,14-22,45-65,140-70-90,DAP,15.14,0.1709,8.99
Zucchini,14-22,53-77,120-60-80,Vermicompost,5.28,0.1598,8.24
Eggplant,16-24,58-78,90-40-60,NPK 20-20-20,20.49,0.078,2.14
Strawberry,16-24,62-82,100-50-70,Urea,9.26,0.1229,9.09
Spinach,21-29,53-77,140-70-90,Urea,21.61,0.1669,3.08
Spinach,16-24,62-82,105-52-72,Vermicompost,18.98,0.0711,6.11
Carrot,20-28,40-60,105-52-72,Ammonium Sulphate,18.65,0.0663,8.32
Tomato,19-26,60-80,135-68-88,NPK 20-20-20,25.36,0.1241,5.57
Eggplant,22-30,50-70,125-62-82,MOP,22.39,0.2076,4.47
Eggplant,20-Dec,65-85,135-68-88,Ammonium Sulphate,22.59,0.2006,8.73
Strawberry,20-Dec,60-80,110-55-75,Ammonium Sulphate,15.22,0.1311,5.86
Broccoli,18-25,62-82,100-50-70,NPK 20-20-20,15.9,0.1185,3.18
Carrot,19-26,55-75,105-52-72,Ammonium Sulphate,29.03,0.0741,6.5
Tomato,14-22,50-70,140-70-90,Compost,21.33,0.2847,4.42
Strawberry,20-Dec,50-72,110-55-75,DAP,6.22,0.19,4.2
Tomato,16-24,60-80,90-40-60,Urea,22.29,0.1247,3.93
Bell Pepper,18-Oct,55-75,100-50-70,NPK 20-20-20,15.31,0.0563,5.92
Lettuce,18-Oct,50-70,100-50-70,Urea,28.86,0.1016,10.7
Eggplant,19-26,65-85,110-55-75,DAP,26.27,0.1299,9.19
Cucumber,16-24,40-60,140-70-90,Vermicompost,18.49,0.2484,6.04
Tomato,16-24,58-78,125-62-82,Urea,11.24,0.0823,3.4
Lettuce,15-22,58-78,105-52-72,Superphosphate,23.27,0.0585,10.61
Spinach,14-22,53-77,130-65-85,DAP,25.52,0.0952,2.16
Tomato,20-28,40-60,125-62-82,Compost,11.64,0.1944,10.39
Eggplant,14-22,62-82,105-52-72,Vermicompost,10.65,0.2642,9.29
Carrot,18-25,58-78,135-68-88,Superphosphate,26.29,0.2017,8.04
Lettuce,20-28,40-60,110-55-75,Urea,13.3,0.1702,9.96
Cucumber,20-28,62-82,120-60-80,Compost,14.54,0.1671,10.03
Zucchini,18-Oct,58-78,125-62-82,MOP,6.97,0.2759,3.57
Carrot,20-Dec,40-60,125-62-82,Urea,11.78,0.1542,3.94
Broccoli,15-22,60-80,105-52-72,Ammonium Sulphate,15.98,0.241,7.36
Broccoli,22-30,50-72,140-70-90,Superphosphate,9.5,0.2352,8.22
Spinach,20-Dec,65-85,90-40-60,Ammonium Sulphate,19.4,0.1254,8.58
Lettuce,20-28,53-77,100-50-70,Vermicompost,26.49,0.2639,7.94
Zucchini,21-29,50-72,90-40-60,Urea,9.89,0.1319,8.71
Carrot,15-22,45-65,120-60-80,Urea,15.77,0.2317,4.89
Carrot,14-22,62-82,125-62-82,Compost,25.98,0.2908,7.29
Strawberry,19-26,45-65,90-40-60,Superphosphate,9.38,0.1945,11.07
Broccoli,18-25,45-65,105-52-72,NPK 20-20-20,17.97,0.0636,2.48
Carrot,19-26,60-80,105-52-72,Compost,18.72,0.1143,5.4
Cucumber,18-Oct,55-75,140-70-90,DAP,5.45,0.1911,10.28
Eggplant,20-28,65-85,110-55-75,Superphosphate,11.74,0.1138,3.83
Strawberry,19-26,62-82,140-70-90,Superphosphate,12.27,0.0936,10.96
Lettuce,16-24,58-78,135-68-88,Vermicompost,6.65,0.0569,6.96
Spinach,15-22,45-65,95-45-65,NPK 20-20-20,25.42,0.2356,7.96
Broccoli,20-Dec,53-77,125-62-82,Superphosphate,22.77,0.1279,2.27
Bell Pepper,15-22,45-65,135-68-88,Ammonium Sulphate,20.44,0.2318,11.63
Broccoli,20-Dec,40-60,125-62-82,NPK 20-20-20,13.74,0.0876,8.32
Cucumber,15-22,53-77,95-45-65,DAP,13.18,0.1211,4.7
Carrot,20-28,60-80,140-70-90,Compost,22.07,0.153,4.79
Zucchini,18-Oct,50-70,105-52-72,DAP,28.84,0.1881,6.14
Cucumber,18-25,53-77,110-55-75,DAP,26.41,0.2975,10.46
Zucchini,19-26,58-78,105-52-72,Superphosphate,9.79,0.0973,4.48
Carrot,18-Oct,53-77,95-45-65,DAP,5.77,0.1934,11.06
Tomato,18-Oct,53-77,95-45-65,MOP,13.79,0.1284,6.45
Strawberry,14-22,50-70,90-40-60,Compost,18.2,0.2463,3.73
Spinach,18-25,50-70,95-45-65,NPK 20-20-20,7.43,0.0679,8.95
Broccoli,18-Oct,58-78,140-70-90,MOP,11.7,0.1036,3.45
Cucumber,15-22,58-78,105-52-72,Ammonium Sulphate,20.01,0.2937,4.82
Lettuce,18-25,60-80,135-68-88,Ammonium Sulphate,8.67,0.2389,4.55
Cucumber,16-24,45-65,110-55-75,Superphosphate,25.57,0.124,7.34
Eggplant,16-24,58-78,120-60-80,Vermicompost,23.23,0.2053,11.95
Broccoli,16-24,55-75,105-52-72,Superphosphate,18.85,0.179,4.56
Tomato,18-25,45-65,90-40-60,Compost,18.32,0.1486,7.59
Tomato,22-30,62-82,105-52-72,MOP,25.77,0.0505,7.01
Spinach,18-25,58-78,140-70-90,Urea,5.36,0.2562,11.98
Broccoli,22-30,40-60,125-62-82,NPK 20-20-20,14.65,0.2363,12
Eggplant,19-26,50-72,105-52-72,NPK 20-20-20,8.15,0.0551,5.2
Tomato,21-29,40-60,140-70-90,Ammonium Sulphate,18.53,0.0525,9.83
Zucchini,19-26,60-80,140-70-90,Compost,15.5,0.2191,3.47
Broccoli,20-28,45-65,140-70-90,NPK 20-20-20,19.88,0.2969,11.33
Lettuce,18-Oct,40-60,120-60-80,Superphosphate,6.84,0.1254,6.37
Broccoli,20-Dec,50-72,120-60-80,MOP,9.26,0.2015,2.35
Strawberry,20-28,62-82,120-60-80,Superphosphate,27.62,0.0664,7
Zucchini,20-28,50-70,140-70-90,NPK 20-20-20,21.25,0.1018,8.25
Bell Pepper,15-22,50-70,125-62-82,Vermicompost,27.72,0.0538,4.35
Tomato,22-30,58-78,105-52-72,Superphosphate,16.54,0.2806,9.4
Bell Pepper,18-Oct,45-65,100-50-70,Urea,19.44,0.1718,10.8
Lettuce,19-26,40-60,125-62-82,Superphosphate,9.96,0.1197,3.82
Bell Pepper,14-22,62-82,125-62-82,DAP,22.43,0.279,3.34
Cucumber,21-29,53-77,90-40-60,DAP,17.6,0.271,5.05
Broccoli,19-26,53-77,105-52-72,Vermicompost,9.62,0.1384,6.06
Tomato,18-Oct,65-85,140-70-90,DAP,12.37,0.2721,8.26
Bell Pepper,18-25,53-77,105-52-72,Superphosphate,13.82,0.1311,2.97
Lettuce,15-22,65-85,120-60-80,Superphosphate,17.73,0.112,4.83
Bell Pepper,20-Dec,45-65,100-50-70,MOP,17.96,0.1003,8.05
Cucumber,19-26,50-70,100-50-70,Ammonium Sulphate,21.16,0.2511,4.29
Zucchini,16-24,55-75,135-68-88,Vermicompost,22.34,0.2616,4.63
Cucumber,20-Dec,60-80,105-52-72,Superphosphate,21.49,0.2785,11.78
Eggplant,15-22,50-70,120-60-80,Compost,9.88,0.0552,8.49
Broccoli,20-28,50-72,135-68-88,DAP,11.41,0.2411,8.07
Strawberry,20-28,58-78,100-50-70,DAP,18.75,0.1734,6.19
Spinach,20-Dec,58-78,105-52-72,NPK 20-20-20,18.88,0.2194,8.68
Broccoli,20-Dec,65-85,125-62-82,Superphosphate,27.15,0.0803,5.55
Bell Pepper,22-30,50-70,95-45-65,Vermicompost,11.54,0.1456,11.45
Cucumber,20-28,62-82,95-45-65,MOP,15.14,0.0853,7.16
Bell Pepper,21-29,50-72,120-60-80,Superphosphate,28.35,0.0526,9.63
Carrot,14-22,50-70,110-55-75,Ammonium Sulphate,9.39,0.2948,6.94
Carrot,18-Oct,50-72,125-62-82,DAP,24.03,0.1516,2.44
Cucumber,20-28,62-82,130-65-85,Vermicompost,9.85,0.2094,10.97
Carrot,18-25,53-77,140-70-90,Compost,6.22,0.0773,6.63
Zucchini,20-Dec,55-75,140-70-90,DAP,20.47,0.1839,7.42
Eggplant,18-25,45-65,125-62-82,Ammonium Sulphate,12.47,0.185,11.44
Tomato,18-Oct,45-65,135-68-88,Ammonium Sulphate,22.96,0.2956,5.52
Bell Pepper,18-25,60-80,130-65-85,NPK 20-20-20,9.8,0.0841,3.35
Strawberry,21-29,40-60,125-62-82,Superphosphate,17.36,0.1192,3.68
Strawberry,14-22,65-85,130-65-85,MOP,29.36,0.2675,5.71
Cucumber,18-25,62-82,135-68-88,Ammonium Sulphate,14.36,0.2029,11.45
Tomato,21-29,58-78,130-65-85,Vermicompost,7.57,0.2041,9.43
Lettuce,18-Oct,50-70,110-55-75,Urea,28.77,0.1039,10.62
Broccoli,20-28,65-85,100-50-70,Vermicompost,18.5,0.1881,6.13
Spinach,14-22,58-78,110-55-75,MOP,8.75,0.2388,7.74
Carrot,20-Dec,60-80,125-62-82,MOP,9.36,0.1351,3.93
Cucumber,21-29,55-75,135-68-88,Vermicompost,24.54,0.2701,3.72
Eggplant,18-25,62-82,135-68-88,Ammonium Sulphate,12.64,0.201,8.57
Lettuce,18-25,40-60,95-45-65,Superphosphate,28.9,0.2934,4.57
Bell Pepper,19-26,65-85,140-70-90,DAP,29.84,0.1042,4.56
Carrot,22-30,60-80,125-62-82,MOP,26.22,0.1361,9.17
Tomato,22-30,50-72,140-70-90,NPK 20-20-20,7.5,0.1176,3.48
Eggplant,18-Oct,40-60,130-65-85,DAP,23.18,0.0937,9.01
Carrot,19-26,45-65,90-40-60,MOP,7.64,0.2021,6.46
Lettuce,14-22,62-82,120-60-80,Superphosphate,18.36,0.0989,3.75
Bell Pepper,15-22,45-65,120-60-80,Superphosphate,17.36,0.2765,5.99
Strawberry,20-28,50-70,105-52-72,Compost,29.15,0.2815,8.51
Carrot,22-30,60-80,130-65-85,MOP,6.38,0.1235,5.78
Spinach,16-24,62-82,130-65-85,MOP,6.17,0.2545,10.05
Spinach,20-28,58-78,100-50-70,NPK 20-20-20,9.65,0.2262,7.23
Spinach,20-28,50-72,90-40-60,NPK 20-20-20,26.53,0.1114,5.21
Carrot,16-24,60-80,120-60-80,NPK 20-20-20,25.17,0.1817,8.57
Zucchini,22-30,50-72,125-62-82,MOP,16.72,0.0503,7.95
Eggplant,15-22,65-85,120-60-80,Superphosphate,7.37,0.2102,5.14
Carrot,14-22,62-82,105-52-72,Urea,10.54,0.1654,8.02
Spinach,19-26,62-82,110-55-75,Superphosphate,7.1,0.1166,8.68
Carrot,20-Dec,55-75,135-68-88,Compost,17.73,0.1375,8.93
Tomato,20-28,50-70,130-65-85,MOP,20.84,0.2024,6.8
Lettuce,19-26,45-65,95-45-65,NPK 20-20-20,14.48,0.221,10.32
Eggplant,22-30,55-75,90-40-60,Compost,12.82,0.1829,7.28
Tomato,18-Oct,58-78,100-50-70,MOP,20.2,0.0835,8.09
Tomato,19-26,50-72,105-52-72,MOP,21.31,0.2733,7.96
Lettuce,19-26,60-80,110-55-75,Vermicompost,26.12,0.0843,11.27
Strawberry,20-Dec,62-82,135-68-88,MOP,10.51,0.2127,9.31
Bell Pepper,20-Dec,50-70,110-55-75,Vermicompost,7.73,0.2515,10.75
Bell Pepper,15-22,50-72,135-68-88,Ammonium Sulphate,25.97,0.2473,4.53
Cucumber,15-22,65-85,120-60-80,Ammonium Sulphate,25.03,0.079,11.6
Broccoli,20-Dec,50-70,95-45-65,DAP,24.04,0.0601,3.77
Strawberry,22-30,50-70,120-60-80,MOP,13.75,0.126,8.81
Broccoli,20-Dec,65-85,125-62-82,MOP,10.78,0.1138,6.22
Bell Pepper,20-28,65-85,120-60-80,Urea,19.91,0.2681,9
Cucumber,19-26,50-72,135-68-88,Urea,22.36,0.0958,6.8
Lettuce,18-25,58-78,135-68-88,NPK 20-20-20,17.07,0.1875,4.64
Cucumber,16-24,50-72,95-45-65,Ammonium Sulphate,7.86,0.2744,4.88
Lettuce,21-29,45-65,140-70-90,MOP,20.75,0.2534,2.31
Carrot,21-29,60-80,140-70-90,Ammonium Sulphate,28.89,0.2756,3.61
Eggplant,19-26,53-77,95-45-65,Urea,6.12,0.1184,4.86
Strawberry,22-30,50-72,140-70-90,Superphosphate,14.99,0.261,2.69
Bell Pepper,21-29,53-77,130-65-85,Compost,29.33,0.2449,8.88
Bell Pepper,18-Oct,50-72,90-40-60,Vermicompost,8.17,0.0557,9.09
Bell Pepper,15-22,50-72,120-60-80,Superphosphate,8.92,0.1444,10.87
Bell Pepper,21-29,62-82,135-68-88,Ammonium Sulphate,12.16,0.2293,8.96
Tomato,16-24,53-77,130-65-85,NPK 20-20-20,12.65,0.056,4.66
Carrot,18-Oct,60-80,130-65-85,NPK 20-20-20,15.99,0.0907,6.11
Lettuce,14-22,58-78,140-70-90,Compost,29.32,0.0503,10.95
Eggplant,20-28,58-78,125-62-82,Vermicompost,18.95,0.1773,2.47
Broccoli,22-30,53-77,105-52-72,Ammonium Sulphate,18.59,0.1776,5.36
Lettuce,18-25,40-60,120-60-80,Urea,24.8,0.2055,3.6
Bell Pepper,18-25,58-78,110-55-75,Superphosphate,21.6,0.1984,8.8
Lettuce,20-Dec,58-78,125-62-82,Urea,7.01,0.2228,7.75
Spinach,20-28,45-65,90-40-60,Vermicompost,13.7,0.1043,7.48
Spinach,16-24,45-65,100-50-70,Vermicompost,8.51,0.0833,4.41
Eggplant,19-26,65-85,95-45-65,Vermicompost,12.93,0.1334,4.84
Broccoli,16-24,50-72,120-60-80,DAP,19.33,0.2266,9.86
Bell Pepper,14-22,45-65,135-68-88,Vermicompost,17.52,0.2999,8.12
Bell Pepper,14-22,50-72,110-55-75,Urea,20.26,0.2007,8.46
Strawberry,19-26,50-70,125-62-82,Ammonium Sulphate,18.55,0.2293,8.5
Strawberry,20-28,58-78,125-62-82,NPK 20-20-20,24.7,0.0631,8.57
Cucumber,16-24,62-82,100-50-70,Vermicompost,26.53,0.077,4.54
Broccoli,22-30,53-77,90-40-60,Urea,9.55,0.1682,4.38
Lettuce,22-30,60-80,105-52-72,NPK 20-20-20,12.97,0.2767,10.27
Zucchini,22-30,40-60,120-60-80,Vermicompost,15.2,0.2317,6.4
Carrot,21-29,45-65,95-45-65,Compost,22.48,0.0521,9.9
Lettuce,19-26,60-80,120-60-80,Ammonium Sulphate,7.15,0.1519,5.46
Cucumber,18-Oct,40-60,110-55-75,Urea,12.55,0.2496,8.31
Eggplant,18-Oct,55-75,125-62-82,Compost,8.89,0.2788,11.56
Carrot,20-Dec,65-85,125-62-82,NPK 20-20-20,19.32,0.1987,6.61
Eggplant,15-22,55-75,135-68-88,Ammonium Sulphate,28,0.1482,11.05
Strawberry,18-Oct,55-75,140-70-90,DAP,27.66,0.2021,10.49
Bell Pepper,21-29,60-80,140-70-90,Superphosphate,24.48,0.1865,10.48
Strawberry,18-Oct,53-77,100-50-70,MOP,13,0.2954,11.48
Eggplant,22-30,40-60,110-55-75,Ammonium Sulphate,22.8,0.1859,9.77
Lettuce,21-29,53-77,140-70-90,Urea,22.14,0.2919,11.69
Strawberry,16-24,60-80,120-60-80,Compost,14.39,0.1852,6.61
Bell Pepper,22-30,40-60,90-40-60,Ammonium Sulphate,10.25,0.0722,11.44
Eggplant,16-24,55-75,95-45-65,Superphosphate,24.08,0.2713,9.05
Eggplant,22-30,55-75,95-45-65,Vermicompost,15.8,0.2167,4.78
Spinach,16-24,60-80,125-62-82,Ammonium Sulphate,5.08,0.2113,4.12
Eggplant,16-24,55-75,140-70-90,Compost,7.15,0.2618,11.01
Zucchini,16-24,50-70,90-40-60,Ammonium Sulphate,10.02,0.1161,7.17
Tomato,16-24,40-60,135-68-88,DAP,21.92,0.2784,5.83
Zucchini,18-Oct,40-60,125-62-82,Vermicompost,15.06,0.0715,10.22
Spinach,18-25,50-72,125-62-82,Urea,27.98,0.1684,10.02
Bell Pepper,18-Oct,60-80,90-40-60,Compost,22.64,0.2526,4.69
Cucumber,19-26,65-85,100-50-70,Urea,8.64,0.0585,4.59
Zucchini,18-25,60-80,95-45-65,NPK 20-20-20,29.39,0.0792,5.05
Lettuce,22-30,62-82,130-65-85,Compost,25.72,0.2516,8.73
Broccoli,20-28,58-78,110-55-75,Vermicompost,21.27,0.0632,2.67
Broccoli,15-22,40-60,125-62-82,MOP,29.81,0.1473,11.2
Eggplant,21-29,60-80,105-52-72,MOP,21.28,0.055,8.01
Tomato,16-24,65-85,130-65-85,NPK 20-20-20,19.76,0.189,2.76
Broccoli,20-Dec,62-82,125-62-82,Urea,20.67,0.1303,7
Cucumber,21-29,55-75,140-70-90,Urea,14.82,0.2606,3.7
Bell Pepper,15-22,55-75,105-52-72,Superphosphate,14.44,0.293,8.05
Lettuce,14-22,62-82,110-55-75,Superphosphate,23.03,0.1941,4.87
Tomato,18-Oct,50-70,110-55-75,MOP,8.48,0.0776,7.32
Eggplant,20-28,45-65,130-65-85,Urea,9.62,0.1829,9.19
Bell Pepper,16-24,65-85,120-60-80,MOP,27.27,0.1052,6.84
Carrot,22-30,50-72,130-65-85,MOP,22.49,0.0926,11.57
Tomato,19-26,50-70,130-65-85,Ammonium Sulphate,12.23,0.1135,6.02
Zucchini,18-25,40-60,130-65-85,Ammonium Sulphate,24.58,0.1175,4.35
Cucumber,14-22,62-82,130-65-85,Superphosphate,13.47,0.1198,11.1
Broccoli,20-Dec,50-72,100-50-70,Compost,7.95,0.2611,2.4
Carrot,14-22,45-65,125-62-82,NPK 20-20-20,25.88,0.0922,3.96
Strawberry,18-25,60-80,135-68-88,NPK 20-20-20,24.97,0.2879,3.11
Carrot,16-24,58-78,110-55-75,Superphosphate,10.26,0.1159,3.03
Tomato,20-Dec,60-80,100-50-70,Ammonium Sulphate,23.42,0.2854,7.58
Bell Pepper,21-29,55-75,120-60-80,Ammonium Sulphate,12.23,0.1023,10.03
Strawberry,19-26,50-72,140-70-90,MOP,16.13,0.167,3.52
Lettuce,15-22,58-78,140-70-90,Superphosphate,23.49,0.0629,9.61
Carrot,19-26,55-75,140-70-90,Compost,20.73,0.2183,9.48
Bell Pepper,20-28,50-72,140-70-90,NPK 20-20-20,15.33,0.0739,11.54
Carrot,14-22,53-77,90-40-60,Ammonium Sulphate,17.49,0.1517,9.81
Carrot,22-30,40-60,95-45-65,MOP,26.55,0.2001,4.25
Zucchini,20-Dec,65-85,125-62-82,MOP,15.18,0.2909,8.51
Broccoli,20-Dec,62-82,135-68-88,NPK 20-20-20,9.98,0.2051,8.64
Cucumber,19-26,65-85,120-60-80,Compost,23.33,0.1323,7.08
Broccoli,22-30,65-85,140-70-90,MOP,13.61,0.2612,5.27
Carrot,16-24,45-65,105-52-72,Vermicompost,17.27,0.1112,4.42
Broccoli,15-22,58-78,105-52-72,Compost,24.82,0.2287,9.14
Carrot,15-22,62-82,95-45-65,MOP,28.3,0.2176,7.94
Bell Pepper,15-22,65-85,130-65-85,DAP,29.11,0.0902,4.37
Spinach,18-Oct,40-60,95-45-65,Compost,9.23,0.2377,9.95
Broccoli,15-22,45-65,130-65-85,NPK 20-20-20,17.77,0.1403,6.27
Spinach,20-28,50-70,110-55-75,MOP,22.7,0.2035,2.31
Carrot,18-25,50-72,100-50-70,MOP,25.94,0.265,2.48
Zucchini,20-Dec,45-65,120-60-80,Compost,6.26,0.1814,4.46
Eggplant,20-28,58-78,125-62-82,NPK 20-20-20,9.91,0.0551,5.79
Eggplant,15-22,45-65,100-50-70,Urea,18.53,0.1463,2.5
Lettuce,18-25,58-78,135-68-88,Urea,24.8,0.2868,8.21
Strawberry,21-29,50-70,95-45-65,MOP,14.42,0.0646,11.72
Zucchini,22-30,62-82,130-65-85,Ammonium Sulphate,19.66,0.1325,6.76
Zucchini,20-Dec,60-80,140-70-90,NPK 20-20-20,6.38,0.1685,11.72
Spinach,19-26,40-60,120-60-80,Urea,13.01,0.2742,2.76
Zucchini,15-22,60-80,105-52-72,NPK 20-20-20,16.3,0.0706,4.99
Spinach,19-26,53-77,95-45-65,Ammonium Sulphate,9.03,0.1668,4.97
Lettuce,19-26,62-82,100-50-70,Compost,29.82,0.1839,2.12
Strawberry,20-Dec,60-80,125-62-82,Urea,7.9,0.2228,10.31
Spinach,19-26,60-80,105-52-72,MOP,7.72,0.1232,9.68
Broccoli,18-25,40-60,140-70-90,MOP,5.45,0.1482,7.37
Spinach,19-26,53-77,120-60-80,Vermicompost,14.12,0.0812,11.06
Bell Pepper,18-Oct,40-60,140-70-90,Superphosphate,8.31,0.0736,11.6
Carrot,20-28,45-65,130-65-85,NPK 20-20-20,25.69,0.0608,10.95
Broccoli,15-22,45-65,110-55-75,Superphosphate,29.93,0.1809,5.42
Lettuce,22-30,55-75,130-65-85,Vermicompost,8,0.0961,8.13
Bell Pepper,20-Dec,40-60,140-70-90,Superphosphate,25.83,0.0506,4.21
Lettuce,15-22,45-65,100-50-70,MOP,10.09,0.2925,2.12
Zucchini,15-22,50-72,95-45-65,Compost,26.41,0.2688,10.12
Lettuce,20-28,55-75,100-50-70,Urea,27.1,0.1367,9.74
Eggplant,20-28,50-70,130-65-85,Urea,26.33,0.2269,8.39
Broccoli,20-Dec,50-72,110-55-75,MOP,20.82,0.1924,10.16
Strawberry,20-Dec,65-85,130-65-85,Ammonium Sulphate,27.75,0.2709,4.74
Cucumber,19-26,62-82,95-45-65,Superphosphate,18.71,0.1643,3.04
Eggplant,15-22,45-65,90-40-60,DAP,25.54,0.1688,2.52
Tomato,18-25,65-85,95-45-65,Vermicompost,7.75,0.2543,9.8
Broccoli,20-28,62-82,105-52-72,Urea,16.27,0.1699,11.56
Broccoli,18-25,53-77,125-62-82,Urea,15.44,0.0518,5.15
Eggplant,20-Dec,40-60,120-60-80,Urea,18.68,0.2639,4.63
Eggplant,20-Dec,40-60,105-52-72,Urea,9.84,0.2476,2.65
Cucumber,14-22,58-78,90-40-60,Compost,10.1,0.1361,7.39
Spinach,18-Oct,58-78,120-60-80,Compost,7.31,0.1138,9.82
Carrot,20-Dec,65-85,125-62-82,MOP,12.77,0.1001,2.04
Lettuce,22-30,53-77,100-50-70,MOP,24.85,0.0935,3.04
Eggplant,19-26,50-70,110-55-75,Vermicompost,25.37,0.2456,8.53
Cucumber,16-24,55-75,125-62-82,DAP,19.68,0.2793,10.17
Strawberry,20-28,55-75,90-40-60,DAP,21.21,0.0796,6.4
Eggplant,21-29,53-77,90-40-60,MOP,6.57,0.2895,10.41
Tomato,14-22,62-82,95-45-65,DAP,29.93,0.0561,9.01
Eggplant,18-Oct,50-70,110-55-75,Compost,28.37,0.052,7.22
Lettuce,20-Dec,65-85,100-50-70,Urea,12.18,0.1882,2.48
Tomato,18-25,60-80,105-52-72,NPK 20-20-20,23.96,0.1416,5.17
Broccoli,22-30,40-60,135-68-88,Vermicompost,28.43,0.2251,11.34
Lettuce,20-Dec,40-60,130-65-85,Vermicompost,18.33,0.2954,10.46
Tomato,22-30,55-75,130-65-85,Vermicompost,7.82,0.2619,10
Zucchini,20-28,65-85,100-50-70,DAP,28.78,0.288,4.34
Spinach,20-Dec,55-75,100-50-70,Superphosphate,7.86,0.1297,11.02
Zucchini,18-Oct,40-60,105-52-72,Superphosphate,20.02,0.1249,2.12
Broccoli,22-30,58-78,130-65-85,NPK 20-20-20,23.02,0.2349,5.28
Eggplant,15-22,45-65,110-55-75,Urea,6.28,0.2074,3.84
Tomato,19-26,55-75,135-68-88,Superphosphate,19.46,0.2559,7.23
Cucumber,22-30,55-75,105-52-72,DAP,29.61,0.2288,7.37
Lettuce,14-22,50-72,125-62-82,Vermicompost,19.86,0.2282,10.87
Carrot,14-22,50-70,100-50-70,Ammonium Sulphate,21.39,0.2681,11.54
Carrot,18-Oct,65-85,90-40-60,Compost,23.37,0.1296,3.54
Zucchini,21-29,50-72,100-50-70,DAP,20.03,0.1766,10.93
Zucchini,14-22,65-85,120-60-80,Superphosphate,29.08,0.1373,9.23
Broccoli,14-22,45-65,100-50-70,DAP,21.99,0.2904,3.99
Lettuce,14-22,40-60,110-55-75,NPK 20-20-20,8.75,0.0636,5.88
Tomato,22-30,40-60,105-52-72,Superphosphate,26.92,0.2564,8.49
Zucchini,22-30,58-78,130-65-85,Ammonium Sulphate,29.97,0.2561,2.6
Tomato,16-24,55-75,120-60-80,MOP,25.6,0.241,7.02
Strawberry,16-24,65-85,125-62-82,NPK 20-20-20,10.82,0.0556,10.22
Zucchini,18-Oct,60-80,95-45-65,Compost,29.76,0.1486,10.57
Carrot,19-26,50-70,110-55-75,Ammonium Sulphate,27.97,0.1244,11.3
Zucchini,20-28,58-78,140-70-90,NPK 20-20-20,19.57,0.2468,10.9
Cucumber,15-22,40-60,110-55-75,Superphosphate,22.34,0.081,11.25
Broccoli,18-Oct,53-77,100-50-70,Urea,10.87,0.1349,8.57
Carrot,16-24,50-70,105-52-72,MOP,11.42,0.1855,9.49
Strawberry,21-29,50-70,135-68-88,Compost,6.07,0.0953,9.64
Lettuce,15-22,58-78,135-68-88,Superphosphate,12.32,0.1848,11.08
Bell Pepper,16-24,55-75,95-45-65,Vermicompost,28.88,0.0734,6.75
Spinach,21-29,65-85,135-68-88,NPK 20-20-20,21.53,0.2737,7.28
Strawberry,18-25,58-78,100-50-70,DAP,8.45,0.0512,7.38
Eggplant,18-Oct,40-60,105-52-72,Superphosphate,15.12,0.1094,5.75
Zucchini,16-24,50-72,135-68-88,NPK 20-20-20,26.32,0.1615,4.19
Strawberry,19-26,45-65,100-50-70,Ammonium Sulphate,17.87,0.2271,7.88
Cucumber,22-30,50-70,90-40-60,Superphosphate,14.06,0.151,3.86
Strawberry,22-30,45-65,90-40-60,Vermicompost,20.99,0.1338,5.62
Bell Pepper,19-26,50-72,125-62-82,Vermicompost,23.36,0.1029,6.82
Spinach,19-26,55-75,105-52-72,Compost,15.05,0.1638,2.64
Strawberry,18-Oct,60-80,110-55-75,Superphosphate,20.85,0.1454,8.2
Strawberry,18-25,58-78,110-55-75,Superphosphate,14.32,0.1582,9.17
Eggplant,16-24,62-82,90-40-60,Superphosphate,16.03,0.0787,10.93
Carrot,15-22,55-75,120-60-80,Compost,21.45,0.1704,2.47
Tomato,18-25,65-85,100-50-70,Urea,24.83,0.2503,4.65
Eggplant,20-Dec,58-78,130-65-85,DAP,28.31,0.1566,8.35
Bell Pepper,18-25,50-72,105-52-72,Compost,28.6,0.274,8.08
Carrot,18-Oct,50-70,120-60-80,Vermicompost,26.35,0.1573,11.66
Zucchini,18-Oct,50-70,140-70-90,Compost,25.35,0.2066,4.09
Zucchini,18-25,62-82,130-65-85,Urea,26.19,0.0946,3.75
Cucumber,18-Oct,55-75,95-45-65,Compost,15.85,0.0745,11.41
Lettuce,18-25,40-60,135-68-88,Superphosphate,7.13,0.2631,7.99
Broccoli,22-30,50-72,105-52-72,MOP,10.68,0.146,5.21
Tomato,21-29,50-72,120-60-80,Ammonium Sulphate,27.43,0.0741,5.6
Tomato,22-30,53-77,95-45-65,NPK 20-20-20,8.14,0.2613,3.37
Spinach,18-Oct,62-82,105-52-72,Superphosphate,15.24,0.1828,8.97
Lettuce,22-30,62-82,95-45-65,Urea,23.28,0.0793,6.66
Broccoli,14-22,60-80,120-60-80,DAP,18.15,0.0812,2.23
